hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
Kepler-732,,3834,0.5,0.51,,,4.76,13.7,,,
Kepler-732,,3582,0.46,0.49,0.18,,4.81,,6.2,,
Kepler-732,,3631,0.46,0.49,-0.01,,4.79,4.47,,,
Kepler-733,,5349,0.87,,,,4.54,,,,
Kepler-733,,5349,0.74,,0.21,,4.68,,,,
Kepler-733,,5537,0.88,1,0.21,,4.55,,1.9196,,
Kepler-733,,5349,0.87,,,,4.54,,,,
Kepler-733,,5429,0.78,0.88,,,4.6,0.6,,,
Kepler-733,,5537,0.88,1,0.21,,4.55,,1.9196,,
Kepler-733,,5149.53,0.88,,,-0.309,,,,,
Kepler-733,,,,,,,,,,,
Kepler-733,,5537,0.88,1,0.21,,4.55,,1.9196,,
Kepler-733,,5540,0.8,,,,,,,,
Kepler-733,,5418,0.86,0.9,0.01,,4.53,4.27,,,
Kepler-733,,5253.77,0.86,0.9,0.259,-0.298,4.53,,2.0186,,
Kepler-733,,5537,0.88,1,0.21,,4.55,,2.6246,,
Kepler-734,,5085,0.71,0.71,-0.36,,4.58,,0.5641,,
Kepler-734,,5284,0.83,,,,4.57,,,,
Kepler-734,,5326,0.78,0.85,-0.17,,4.59,2.34,,,
Kepler-734,,5482,0.79,0.89,,,4.59,0.5,,,
Kepler-734,,5112,0.87,0.84,-0.28,,4.48,,0.5721,,
Kepler-734,,5112,0.87,0.84,-0.28,,4.48,,0.5721,,
Kepler-734,,5284,0.83,,,,4.57,,,,
Kepler-734,,,,,,,,,,,
Kepler-734,,5060,1.84,,,0.301,,,,,
Kepler-734,,5610,1.63,0.99,,0.374,4.01,,0.3234,,
Kepler-734,,5112,0.87,0.84,-0.28,,4.48,,0.5721,,
Kepler-734,,5284,0.79,,0.125,,4.63,,,,
Kepler-734,,5085,1.71,,,,,,,,
Kepler-735,,5107,0.8,0.85,0.07,,4.57,4.37,,,
Kepler-735,,4919,0.75,,,-0.53,,,,,
Kepler-735,,4929,0.76,0.81,,-0.517,4.59,,2.6406,,
Kepler-735,,5173,0.8,0.91,0.21,,4.59,,11.9777,,
Kepler-735,,5173,0.8,0.91,0.21,,4.59,,11.9777,,
Kepler-735,,5070,0.69,0.79,,,4.66,0.7,,,
Kepler-735,,5171,0.69,,,,,,,,
Kepler-735,,5177,0.8,0.91,0.21,,4.59,,11.5171,,
Kepler-735,,5173,0.8,0.91,0.21,,4.59,,11.9777,,
Kepler-735,,4997,0.66,,0.209,,4.73,,,,
Kepler-735,,,,,,,,,,,
Kepler-735,,4997,0.78,,,,4.6,,,,
Kepler-735,,4997,0.78,,,,4.6,,,,
Kepler-736,,5046,0.86,,,,,,,,
Kepler-736,,5217,0.81,0.86,0.03,,4.56,4.27,,,
Kepler-736,,5178,0.68,,0.087,,4.73,,,,
Kepler-736,,5335,0.81,0.91,0.07,,4.58,,0.2195,,
Kepler-736,,5178,0.79,,,,4.58,,,,
Kepler-736,,5335,0.81,0.91,0.07,,4.58,,0.2195,,
Kepler-736,,5093,0.86,0.85,,-0.35,4.5,,1.8934,,
Kepler-736,,,,,,,,,,,
Kepler-736,,5335,0.81,0.91,0.07,,4.58,,0.2195,,
Kepler-736,,5273,0.74,0.84,,,4.63,0.6,,,
Kepler-736,,5178,0.79,,,,4.58,,,,
Kepler-736,,5052,0.85,0.81,0.16,,4.48,,2.7826,,
Kepler-736,,5022.05,0.88,,,-0.354,,,,,
Kepler-737,,3753,0.51,,,,,,,,
Kepler-737,,3750,0.46,0.49,-0.18,,4.8,,4.8994,,
Kepler-737,,3829,0.52,,,,4.74,,,,
Kepler-737,,3750,0.46,0.49,-0.18,,4.8,,4.8994,,
Kepler-737,,3785,0.54,,,-1.272,,,,,
Kepler-737,,3750,0.46,0.49,-0.18,,4.8,,4.8994,,
Kepler-737,,3979,0.51,0.53,,,4.75,14,,,
Kepler-737,,3829,0.64,,-0.037,,4.53,,,,
Kepler-737,,3793,0.52,0.52,,-1.301,4.72,,5.239,,
Kepler-737,,,,,,,,,,,
Kepler-737,,3813,0.48,0.51,-0.24,,4.77,3.89,,,
Kepler-737,,3829,0.52,,,,4.74,,,,
Kepler-737,,3755,0.46,0.47,-0.26,,4.78,,5.4914,,
Kepler-738,,5474,0.75,0.83,-0.34,,4.61,,1.6764,,
Kepler-738,,5230.88,0.95,0.89,-0.019,-0.213,4.43,,1.4487,,
Kepler-738,,5468,0.91,,,,,,,,
Kepler-738,,5465,0.75,0.82,-0.34,,4.6,,3.8344,,
Kepler-738,,5465,0.75,0.82,-0.34,,4.6,,3.8344,,
Kepler-738,,5465,0.75,0.82,-0.34,,4.6,,3.8344,,
Kepler-738,,5327,0.82,0.86,-0.09,,4.55,4.57,,,
Kepler-738,,,,,,,,,,,
Kepler-738,,5127.32,0.99,,,-0.211,,,,,
Kepler-738,,5298,0.52,,-0.315,,4.95,,,,
Kepler-738,,5493,0.79,0.9,,,4.59,0.5,,,
Kepler-739,,5997,0.9,0.99,-0.22,,4.52,,0.9099,,
Kepler-739,,6000,0.93,1.03,,,4.51,0.3,,,
Kepler-739,,5997,0.9,0.99,-0.22,,4.52,,0.8,,
Kepler-739,,5628,1.07,1,,0.018,4.38,,1.1386,,
Kepler-739,,5733,0.87,,,,4.54,,,,
Kepler-739,,5733,0.87,,,,4.54,,,,
Kepler-739,,5444.67,1.14,,,0.012,,,,,
Kepler-739,,5997,0.9,0.99,-0.22,,4.52,,0.9099,,
Kepler-739,,6000,1.05,,,,,,,,
Kepler-739,,5601,0.9,0.93,-0.08,,4.51,4.27,,,
Kepler-739,,5997,0.9,0.99,-0.22,,4.52,,0.9099,,
Kepler-739,,,,,,,,,,,
Kepler-739,,5733,0.74,,-0.198,,4.7,,,,
Kepler-74,,6000,1.12,1.18,0.42,,,0.8,,5,
Kepler-74,,6056,1.5,1.27,0.36,,4.19,,1.902,,
Kepler-74,,6056,1.5,1.27,0.36,,4.19,,1.902,,
Kepler-74,,5945,0.91,1.02,,,4.52,0.4,,,
Kepler-74,,6068,1.48,1.26,0.29,,4.2,3.47,,,
Kepler-74,,5774,0.95,,,,4.51,,,,
Kepler-74,F8 V,6050,1.51,1.4,0.34,,4.2,2.9,0.58,5,
Kepler-74,,5774,0.95,,,,4.51,,,,
Kepler-74,,5744,1.42,,,0.298,,,,,
Kepler-74,,6050,1.34,,,,,,,,
Kepler-74,F8 V,6000,1.12,1.18,0.42,,4.44,0.8,1.3,5,
Kepler-74,,5828.81,1.44,1.05,0.238,0.332,4.14,,0.4986,,
Kepler-74,,5828.81,1.44,,,,4.14,,,,
Kepler-74,,5774,0.76,,0.152,,4.69,,,,
Kepler-74,,6056,1.5,1.27,0.36,,4.19,,1.8383,,
Kepler-74,,,,,,,,,,,
Kepler-74,,6056,1.5,1.27,0.36,,4.19,,1.902,,
Kepler-740,,5438,0.87,0.91,0.03,,4.52,4.79,,,
Kepler-740,,5750,0.97,,,,,,,,
Kepler-740,,5739,0.92,1.02,0.1,,4.52,,1.6815,,
Kepler-740,,5491,0.88,,,,4.54,,,,
Kepler-740,,5415.15,0.99,0.94,0.425,-0.123,4.42,,1.3804,,
Kepler-740,,5491,0.86,,0.109,,4.58,,,,
Kepler-740,,5739,0.92,1.02,0.1,,4.52,,1.6815,,
Kepler-740,,,,,,,,,,,
Kepler-740,,5491,0.88,,,,4.54,,,,
Kepler-740,,5669,0.83,0.94,,,4.57,0.4,,,
Kepler-740,,5087.91,1.14,,,-0.108,,,,,
Kepler-740,,5739,0.92,1.02,0.1,,4.52,,1.7027,,
Kepler-740,,5739,0.92,1.02,0.1,,4.52,,1.6815,,
Kepler-741,,6319,1.03,1.08,-0.22,,4.45,,1.0786,,
Kepler-741,,6330,1.07,1.15,,,4.44,0.34,,,
Kepler-741,,6121,1.02,,,,4.46,,,,
Kepler-741,,6121,1.02,,,,4.46,,,,
Kepler-741,,6319,1.03,1.08,-0.22,,4.45,,1.0786,,
Kepler-741,,5944,1.38,1.09,,0.332,4.19,,0.583,,
Kepler-741,,6129,1.24,1.16,0.07,,4.31,3.16,,,
Kepler-741,,6121,0.96,,-0.162,,4.51,,,,
Kepler-741,,6321,1.06,1.11,-0.16,,4.43,,1.099,,
Kepler-741,,6319,1.03,1.08,-0.22,,4.45,,1.0786,,
Kepler-741,,5782,1.47,,,0.338,,,,,
Kepler-741,,6335,1.33,,,,,,,,
Kepler-741,,,,,,,,,,,
Kepler-742,,4580,0.75,,,,4.56,,,,
Kepler-742,,4743,0.81,0.79,0.4,,4.52,,2.7241,,
Kepler-742,,4743,0.81,0.79,0.4,,4.52,,3.2617,,
Kepler-742,,4642,0.71,0.76,0.07,,4.62,2.57,,,
Kepler-742,,4732,0.68,,,,,,,,
Kepler-742,,4743,0.81,0.79,0.4,,4.52,,3.2617,,
Kepler-742,,4743,0.81,0.79,0.4,,4.52,,3.2617,,
Kepler-742,,4828,0.61,,,-0.745,,,,,
Kepler-742,,4628,0.63,0.65,,,4.66,14,,,
Kepler-742,,4545,0.73,0.72,,-0.692,4.57,,2.6383,,
Kepler-742,,,,,,,,,,,
Kepler-742,,4580,0.75,,,,4.56,,,,
Kepler-742,,4580,1.05,,0.392,,4.33,,,,
Kepler-743,,5423.64,0.92,0.94,0.117,-0.176,4.48,,1.6861,,
Kepler-743 B,,,,,,,,,,,
Kepler-743,,,,,,,,,,,
Kepler-743,,5542,0.92,,,,4.5,,,,
Kepler-743,,5542,0.92,,,,4.5,,,,
Kepler-743,,5351.33,0.89,,,-0.229,,,,,
Kepler-743,,5511,0.86,0.96,0.1,,4.55,,24.8262,,
Kepler-743,,5530,0.84,0.96,0.07,,4.57,,22.7692,,
Kepler-743,,5486,0.85,0.94,0.01,,4.55,1.86,,,
Kepler-743,,5530,0.84,0.96,0.07,,4.57,,22.7692,,
Kepler-743,,5509,0.92,,,,,,,,
Kepler-743,,5244,0.85,,-0.345,,4.56,,,,
Kepler-743,,5542,0.92,0.97,,,4.5,3,,,
Kepler-743,,5530,0.84,0.96,0.07,,4.57,,22.7692,,
Kepler-744,,5957,1.59,1.06,-0.1,,4.06,,9.7949,,
Kepler-744,,5594,0.93,0.94,0,,4.48,5.13,,,
Kepler-744,,5957,1.59,1.06,-0.1,,4.06,,9.7949,,
Kepler-744,,5495,0.87,,,,,,,,
Kepler-744,,5681,1.62,,,,4.03,,,,
Kepler-744,,5624.81,0.8,,,-0.24,,,,,
Kepler-744,,5681,1.62,,,,4.03,,,,
Kepler-744,,5681,1.66,,-0.106,,4.07,,,,
Kepler-744,,,,,,,,,,,
Kepler-744,,5938,1.57,1.06,,,4.07,7.2,,,
Kepler-744,,5957,1.59,1.06,-0.1,,4.06,,9.7949,,
Kepler-744,,5547,0.93,0.9,0,,4.45,,9.6133,,
Kepler-744,,5605.14,0.82,0.99,-0.276,-0.222,4.61,,2.5236,,
Kepler-745,,5648,0.79,,-0.057,,4.65,,,,
Kepler-745,,,,,,,,,,,
Kepler-745,,5783,1.54,,,,,,,,
Kepler-745,,5880,0.92,1.01,-0.06,,4.52,,0.4867,,
Kepler-745,,5841,0.88,0.99,,,4.54,0.4,,,
Kepler-745,,5880,0.92,1.01,-0.06,,4.52,,0.6347,,
Kepler-745,,5782,1.22,1.03,0.16,,4.28,,0.5847,,
Kepler-745,,5880,0.92,1.01,-0.06,,4.52,,0.6347,,
Kepler-745,,5880,0.92,1.01,-0.06,,4.52,,0.4867,,
Kepler-745,,5782,1.22,1.03,0.16,,4.28,,0.4832,,
Kepler-745,,,,,,,,,,,
Kepler-745,,5880,0.92,1.01,-0.06,,4.52,,0.4867,,
Kepler-745,,5648,0.87,,,,4.55,,,,
Kepler-745,,5402.67,1.74,,,0.367,,,,,
Kepler-745,,5648,0.87,,,,4.55,,,,
Kepler-745,,5849,1.04,1.04,0.06,,4.42,4.07,,,
Kepler-745,,5654.67,1.61,1,0.04,0.376,4.03,,0.3406,,
Kepler-746,,,,,,,,,,,
Kepler-746,,5418,0.93,0.91,0.09,,4.46,8.71,,,
Kepler-746,,5481,1.01,0.98,,,4.42,7.5,,,
Kepler-746,,5481,1.01,,,,4.42,,,,
Kepler-746,,5481,1.01,,,,4.42,,,,
Kepler-746,,5112,0.6,,-0.416,,4.82,,,,
Kepler-746,,5473,1.06,0.92,0.18,,4.35,,4.379,,
Kepler-746,,5405,1.02,0.9,0.21,,4.37,,5.1037,,
Kepler-746,,5473,1.06,0.92,0.18,,4.35,,4.379,,
Kepler-746,,5094.34,,,0.082,,,,,,
Kepler-746,,5133.72,,,,,,,,,
Kepler-746,,5473,1.06,0.92,0.18,,4.35,,4.379,,
Kepler-747,,4975,0.74,,,,4.57,,,,
Kepler-747,,5131,0.77,0.76,,,4.54,13.8,,,
Kepler-747,,5123,0.78,0.74,-0.2,,4.52,,0.5997,,
Kepler-747,,5123,0.78,0.74,-0.2,,4.52,,0.5997,,
Kepler-747,,5123,0.78,0.74,-0.2,,4.52,,0.5997,,
Kepler-747,,5123,0.78,0.74,-0.2,,4.52,,0.5932,,
Kepler-747,,,,,,,,,,,
Kepler-747,,4907.33,,,,,,,,,
Kepler-747,,5096,0.78,0.82,-0.03,,4.58,4.79,,,
Kepler-747,,4980,3.21,,,,,,,,
Kepler-747,,4975,0.74,,,,4.57,,,,
Kepler-747,,4975,0.95,,-0.208,,4.46,,,,
Kepler-748,,5923,1.49,,,,,,,,
Kepler-748,,5730.42,1.54,1.02,0.214,0.36,4.07,,0.3969,,
Kepler-748,,5665,0.99,1.06,,,4.47,,,,
Kepler-748,,5922,0.96,1,-0.08,,4.47,,1.4488,,
Kepler-748,,,,,,,,,,,
Kepler-748,,5334.25,1.67,,,0.309,,,,,
Kepler-748,,5922,0.96,1,-0.08,,4.47,,1.3338,,
Kepler-748,,5665,0.99,,-0.078,,4.47,,,,
Kepler-748,,5922,0.96,1,-0.08,,4.47,,1.4488,,
Kepler-748,,5934,1.1,1.07,0.08,,4.38,3.72,,,
Kepler-748,,5665,0.94,,,,4.47,,,,
Kepler-748,,5922,0.96,1,-0.08,,4.47,,1.4488,,
Kepler-748,,5665,0.94,0.95,,,4.47,,,,
Kepler-749,,4704,0.79,,,,,,,,
Kepler-749,,4922,0.7,0.72,,,4.6,12.9,,,
Kepler-749,,4719,0.5,0.52,-1.7,,4.75,,2.214,,
Kepler-749,,4719,0.5,0.52,-1.7,,4.75,,3.5462,,
Kepler-749,,4719,0.5,0.52,-1.7,,4.75,,3.5462,,
Kepler-749,,4630,0.72,,-1.714,,4.6,,,,
Kepler-749,,5274.35,0.55,,,-0.683,,,,,
Kepler-749,,4940.93,0.77,0.81,-0.579,-0.494,4.57,,2.4776,,
Kepler-749,,4630,0.47,,,,4.81,,,,
Kepler-749,,4630,0.47,,,,4.81,,,,
Kepler-749,,5009,0.75,0.79,-0.11,,4.59,4.57,,,
Kepler-749,,,,,,,,,,,
Kepler-749,,4719,0.5,0.52,-1.7,,4.75,,3.5462,,
Kepler-75,,5101,0.93,,-0.094,,4.48,,,,
Kepler-75,,,,,,,,,,,
Kepler-75,,5332,0.84,0.82,-0.08,,4.5,,11.6806,,
Kepler-75,,5206,0.83,0.83,-0.02,,4.52,9.12,,,
Kepler-75,,5306,0.96,,,,,,,,
Kepler-75,,5200,0.89,0.91,0.3,,,6.2,,3.5,19.18
Kepler-75,,5332,0.84,0.82,-0.08,,4.5,,11.6806,,
Kepler-75,,5332,0.84,0.82,-0.08,,4.5,,11.6806,,
Kepler-75,,5101,0.84,,,,4.5,,,,
Kepler-75,,5160,0.98,,,,4.4,,,,
Kepler-75,G8 V,5330,0.88,0.88,-0.07,,4.5,6,1.79,3.5,
Kepler-75,K0 V,5200,0.89,0.91,0.3,,4.5,6.2,1.85,3.5,
Kepler-75,,5101,0.84,,,,4.5,,,,
Kepler-75,,5152,0.77,0.77,,,4.54,12.9,,,
Kepler-75,,5332,0.84,0.82,-0.08,,4.5,,11.6206,,
Kepler-75,,4993,0.96,,,-0.292,,,,,
Kepler-75,,5160,0.98,0.87,,-0.215,4.4,,1.315,,
Kepler-750,,,,,,,,,,,
Kepler-750,,6495,1.17,1.19,-0.1,,4.38,,0.9927,,
Kepler-750,,6243,1.02,,-0.102,,4.47,,,,
Kepler-750,,5948,1.4,,,,,,,,
Kepler-750,,6243,1.09,,,,4.43,,,,
Kepler-750,,5897,1.86,1.2,0.16,,3.98,,0.9652,,
Kepler-750,,6495,1.17,1.19,-0.1,,4.38,,0.9927,,
Kepler-750,,6243,1.09,,,,4.43,,,,
Kepler-750,,6025.52,1.36,1.12,-0.106,0.344,4.22,,0.6235,,
Kepler-750,,6495,1.17,1.19,-0.1,,4.38,,0.9927,,
Kepler-750,,5664.26,1.55,,,0.347,,,,,
Kepler-750,,6243,1.02,1.12,,,4.47,,,,
Kepler-750,,6495,1.17,1.19,-0.1,,4.38,,7.501,,
Kepler-750,,6495,1.17,1.19,-0.1,,4.38,,0.7822,,
Kepler-750,,6160,1.23,1.15,0.03,,4.32,3.09,,,
Kepler-750,,6243,1.09,,,,4.43,,,,
Kepler-750,,5897,1.86,1.2,0.16,,3.98,,0.627,,
Kepler-750,,6243,1.02,1.12,,,4.47,,,,
Kepler-750,,,,,,,,,,,
Kepler-750,,5897,1.86,1.2,0.16,,3.98,,1.7291,,
Kepler-750,,6495,1.17,1.19,-0.1,,4.38,,0.7822,,
Kepler-750,,,,,,,,,,,
Kepler-750,,6495,1.17,1.19,-0.1,,4.38,,7.501,,
Kepler-750,,6495,1.17,1.19,-0.1,,4.38,,0.7822,,
Kepler-751,,5568,0.97,0.88,-0.04,,4.41,,2.1112,,
Kepler-751,,5568,0.97,0.88,-0.04,,4.41,,2.1112,,
Kepler-751,,5350,1.04,,-0.036,,4.41,,,,
Kepler-751,,5566,0.85,,,,,,,,
Kepler-751,,5568,0.97,0.88,-0.04,,4.41,,0.2814,,
Kepler-751,,5327,0.87,0.92,,-0.264,4.53,,1.9948,,
Kepler-751,,5568,0.97,0.88,-0.04,,4.41,,2.1112,,
Kepler-751,,5387,0.84,0.87,-0.06,,4.54,4.47,,,
Kepler-751,,5350,0.95,,,,4.42,,,,
Kepler-751,,5530,0.95,0.85,,,4.41,12.3,,,
Kepler-751,,5350,0.95,,,,4.42,,,,
Kepler-751,,,,,,,,,,,
Kepler-751,,5167.19,0.87,,,-0.31,,,,,
Kepler-752,,5469,0.84,,,,4.54,,,,
Kepler-752,,5373,0.83,0.87,-0.08,,4.54,4.07,,,
Kepler-752,,5688,0.94,,,,,,,,
Kepler-752,,5469,0.89,,-0.113,,4.54,,,,
Kepler-752,,,,,,,,,,,
Kepler-752,,5687,0.86,0.93,-0.12,,4.54,,1.6154,,
Kepler-752,,5687,0.86,0.93,-0.12,,4.54,,1.6154,,
Kepler-752,,5687,0.86,0.93,-0.12,,4.54,,1.6154,,
Kepler-752,,,,,,,,,,,
Kepler-752,,5469,0.84,,,,4.54,,,,
Kepler-752,,5116.05,1.05,,,-0.171,,,,,
Kepler-752,,5669,0.85,0.93,,,4.54,2.3,,,
Kepler-752,,5687,0.86,0.93,-0.12,,4.54,,8.3847,,
Kepler-752,,5687,0.86,0.93,-0.12,,4.54,,1.704,,
Kepler-752,,5466,0.97,0.96,,-0.125,4.45,,1.5025,,
Kepler-753,,4251,0.64,,,,,,,,
Kepler-753,,3937,0.52,0.53,-0.27,,4.73,,4.979,,
Kepler-753,,4299,0.56,0.59,,,4.71,13.6,,,
Kepler-753,,4346,0.65,0.68,-0.03,,4.65,3.63,,,
Kepler-753,,4252,0.63,0.64,-0.06,,4.64,,4.4177,,
Kepler-753,,3937,0.52,0.53,-0.27,,4.73,,4.979,,
Kepler-753,,4295.28,0.65,,,-0.885,,,,,
Kepler-753,,4272,0.67,0.67,,-0.865,4.6,,3.0675,,
Kepler-753,,4162,0.55,,,,4.72,,,,
Kepler-753,,4162,0.55,,,,4.72,,,,
Kepler-753,,3937,0.52,0.53,-0.27,,4.73,,4.979,,
Kepler-753,,,,,,,,,,,
Kepler-753,,4162,0.62,,-0.17,,4.61,,,,
Kepler-754,,5935,1.08,1.06,0.05,,4.39,3.8,,,
Kepler-754,,5688,0.95,,,,4.45,,,,
Kepler-754,,5959,0.97,0.98,-0.16,,4.46,,0.4084,,
Kepler-754,,5959,0.97,0.98,-0.16,,4.46,,0.7232,,
Kepler-754,,5961,1.6,,,,,,,,
Kepler-754,,5959,0.97,0.98,-0.16,,4.46,,0.4084,,
Kepler-754,,5959,0.97,0.98,-0.16,,4.46,,0.4084,,
Kepler-754,,6016.43,1.49,1.11,-0.187,0.416,4.14,,0.4778,,
Kepler-754,,5688,0.95,,,,4.45,,,,
Kepler-754,,,,,,,,,,,
Kepler-754,,5952,0.97,1,,,4.46,3.2,,,
Kepler-754,,5688,1,,-0.159,,4.46,,,,
Kepler-754,,5381.25,1.78,,,0.377,,,,,
Kepler-755,,4894,1.01,,-0.222,,4.4,,,,
Kepler-755,,5043,0.77,0.82,-0.01,,4.58,4.9,,,
Kepler-755,,5095,0.77,0.73,-0.2,,4.53,,7.6776,,
Kepler-755,,5095,0.77,0.73,-0.2,,4.53,,0.3219,,
Kepler-755,,4894,0.71,,,,4.59,,,,
Kepler-755,,5088,0.76,0.75,,,4.55,14,,,
Kepler-755,,5088,0.76,0.75,,,4.55,14,,,
Kepler-755,,5146.47,0.74,0.87,-0.034,-0.457,4.63,,2.9836,,
Kepler-755,,5095,0.77,0.73,-0.2,,4.53,,7.6776,,
Kepler-755,,5041,0.77,0.81,0.02,,4.58,,3.1139,,
Kepler-755,,5095,0.77,0.73,-0.2,,4.53,,0.3219,,
Kepler-755,,5067,0.83,,,,,,,,
Kepler-755,,,,,,,,,,,
Kepler-755,,4926.35,0.79,,,-0.475,,,,,
Kepler-755,,5041,0.77,0.81,0.02,,4.58,,2.7872,,
Kepler-755,,,,,,,,,,,
Kepler-755,,4894,0.71,0.72,,,4.59,,,,
Kepler-755,,5095,0.77,0.73,-0.2,,4.53,,0.3219,,
Kepler-755,,4894,0.71,,,,4.59,,,,
Kepler-755,,5095,0.77,0.73,-0.2,,4.53,,7.6776,,
Kepler-755 B,,,,,,,,,,,
Kepler-756,,5553,1.11,0.93,0.14,,4.32,,1.9394,,
Kepler-756,,5715,,,,,,,,,
Kepler-756,,5403,0.83,,-0.121,,4.59,,,,
Kepler-756,,5573,0.83,0.9,-0.12,,4.56,,2.1701,,
Kepler-756,,5553,1.11,0.93,0.14,,4.32,,1.796,,
Kepler-756,,5403,0.8,,,,4.58,,,,
Kepler-756,,5573,0.83,0.9,-0.12,,4.56,,2.1701,,
Kepler-756,,,,,,,,,,,
Kepler-756,,5282,0.79,0.82,-0.19,,4.57,4.47,,,
Kepler-756,,5403,0.8,,,,4.58,,,,
Kepler-756,,5573,0.83,0.9,-0.12,,4.56,,2.2347,,
Kepler-756,,,,,,,,,,,
Kepler-756,,5573,0.83,0.9,-0.12,,4.56,,2.1701,,
Kepler-756,,5564,0.81,0.91,,,4.58,1,,,
Kepler-756,,5573,0.83,0.9,-0.12,,4.56,,2.2347,,
Kepler-757,,5364,0.67,,-0.185,,4.76,,,,
Kepler-757,,5559,0.81,0.88,-0.18,,4.57,,3.6155,,
Kepler-757,,5366,1.02,0.88,0.16,,4.36,,3.5012,,
Kepler-757,,5559,0.81,0.88,-0.18,,4.57,,3.6155,,
Kepler-757,,5289.4,1.29,,,0.071,,,,,
Kepler-757,,,,,,,,,,,
Kepler-757,,5667,1.25,1.01,,0.16,4.25,,0.7328,,
Kepler-757,,5559,0.81,0.88,-0.18,,4.57,,3.6155,,
Kepler-757,,6014,1.13,1.08,0.02,,4.37,3.31,,,
Kepler-757,,5549,0.81,0.91,,,4.58,0.5,,,
Kepler-757,,5365,1.27,,,,,,,,
Kepler-757,,5364,0.74,,,,4.62,,,,
Kepler-757,,5364,0.74,,,,4.62,,,,
Kepler-758,,,,,,,,,,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.6928,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.424,,
Kepler-758,,,,,,,,,,,
Kepler-758,,6021,1.46,0.96,-0.34,,4.09,,0.0097,,
Kepler-758,,6400,1.15,,,,4.4,,,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.1803,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.424,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.6928,,
Kepler-758,,6021,1.46,0.96,-0.34,,4.09,,0.2057,,
Kepler-758,,6400,1.15,1.21,,,4.4,,,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.1803,,
Kepler-758,,6400,1.15,,,,4.4,,,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.4571,,
Kepler-758,,6678,1.24,1.27,,,4.36,0.46,,,
Kepler-758,,,,,,,,,,,
Kepler-758,,6021,1.46,0.96,-0.34,,4.09,,0.1055,,
Kepler-758,,6400,0.98,,-0.085,,4.5,,,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.4571,,
Kepler-758,,6442,1.53,1.3,,0.563,4.18,,0.5071,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.424,,
Kepler-758,,6360,1.57,,,,,,,,
Kepler-758,,6678,1.24,1.27,,,4.36,0.46,,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.6928,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.1803,,
Kepler-758,,6400,,,,,4.4,,,,
Kepler-758,,6228,1.42,1.16,-0.1,,4.19,3.8,,,
Kepler-758,,,,,,,,,,,
Kepler-758,,6678,1.24,1.27,,,4.36,0.46,,,
Kepler-758,,6021,1.46,0.96,-0.34,,4.09,,0.0328,,
Kepler-758,,6692,1.35,1.26,-0.14,,4.28,,0.4571,,
Kepler-758,,6400,1.15,,,,4.4,,,,
Kepler-758,,6302,1.53,,,0.525,,,,,
Kepler-758,,6678,1.24,1.27,,,4.36,0.46,,,
Kepler-759,,5900,0.97,0.98,,,4.45,4.1,,,
Kepler-759,,5860,1.04,1.04,0.06,,4.42,3.89,,,
Kepler-759,,5720,1.02,,-0.167,,4.45,,,,
Kepler-759,,5720,0.96,,,,4.45,,,,
Kepler-759,,5907,0.97,0.96,-0.16,,4.45,,1.5122,,
Kepler-759,,5720,0.96,,,,4.45,,,,
Kepler-759,,5286.9,,,,,,,,,
Kepler-759,,5907,1.89,,,,,,,,
Kepler-759,,5907,0.97,0.96,-0.16,,4.45,,1.6773,,
Kepler-759,,,,,,,,,,,
Kepler-759,,5907,0.97,0.96,-0.16,,4.45,,1.5122,,
Kepler-759,,5907,0.97,0.96,-0.16,,4.45,,1.5122,,
Kepler-76,,6300,1.38,,,,,,,,
Kepler-76,,6371,1.39,1.24,-0.01,,4.24,2.63,,,
Kepler-76,,6309,1.41,1.15,-0.1,,4.2,,0.9202,,
Kepler-76,,6435.9,1.28,,,0.404,,,,,
Kepler-76,,,,,,,,,,,
Kepler-76,,6136.25,1.49,,,,4.16,,,,
Kepler-76,,6308,1.44,1.17,-0.1,,4.19,,0.9673,,
Kepler-76,,6196,1.12,,-0.033,,4.39,,,,
Kepler-76,,6422,1.33,1.34,,,4.32,0.62,,,
Kepler-76,,6308,1.44,1.17,-0.1,,4.19,,0.9673,,
Kepler-76,F,6409,1.32,1.2,-0.1,,4.2,,0.735,6.5,
Kepler-76,,6409,1.32,1.2,-0.1,,,3.6,,6.5,
Kepler-76,,6136.25,1.49,1.16,0.085,0.451,4.16,,0.497,,
Kepler-76,,6409,1.32,1.2,-0.1,,4.2,,,,
Kepler-76,,6308,1.44,1.17,-0.1,,4.19,,0.9673,,
Kepler-760,,5221,1.11,,,,4.31,,,,
