hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
47 UMa,,5954,,1.07,0.06,,,,,,
GJ 3305 B,,,,,,,,,,,
51 Eri,A5,,,,,,,,,,
51 Eri,F0 V,,,,,,,,,,
51 Eri,F0V,7257,1.52,1.57,,0.763,,,,,
GJ 3305,M0.5,,,,,,,,,,
51 Eri,,7276,,,0.13,,4.08,,,65.19,
51 Eri,,,,,,,,,,71.8,
GJ 3305,,,0.49,0.53,,-1.389,4.78,,6.2504,,
51 Eri,,7295,1.49,1.65,,0.752,4.31,,0.7071,,
51 Eri,F0 IV,,,1.75,-0.027,0.85,,0.02,,,
51 Eri,,7190.1,1.56,,,0.765,,,,,
51 Peg,,5830,1.16,,,0.147,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,1.15,1.05,,,4.36,6.76,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,5760.76,1.19,1.07,0.206,,4.32,,,,
51 Peg,,5758,1.18,1.03,0.18,0.136,4.31,,0.8937,,
51 Peg,,,,,,,,15,,,
51 Peg,,,,,,,,,,2.6,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,G3 V,,,,,,,,,,
51 Peg,,5773,1.29,,0.2,,4.32,10,,2.2,30
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,5805,,1.04,0.21,,4.51,,,,
51 Peg,G2 V+,,,,,,,,,,
51 Peg,G5V,5787,1.15,1.05,0.2,0.161,4.36,6.76,,,
51 Peg,,,,1.04,,,,,,,
51 Peg,,,,,,,,,,,
51 Peg,,,,,,,,,,,
